,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Wind Offshore,Wind Offshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
2022-01-01 00:00:00+01:00,373.0,2642.0,28.0,,203.0,1077.0,,5863.0,2190.0,,39523.0,0.0,262.0,3153.0,,
2022-01-01 01:00:00+01:00,378.0,2609.0,28.0,,211.0,914.0,,5768.0,1903.0,,38466.0,0.0,269.0,3177.0,,
2022-01-01 02:00:00+01:00,374.0,2502.0,29.0,,212.0,,183.0,5580.0,1350.0,,37836.0,0.0,270.0,3050.0,,
2022-01-01 03:00:00+01:00,372.0,2506.0,28.0,,214.0,,1845.0,5466.0,573.0,,36816.0,0.0,270.0,3133.0,,
2022-01-01 04:00:00+01:00,367.0,2509.0,29.0,,215.0,,2844.0,5474.0,517.0,,36359.0,0.0,269.0,3403.0,,
2022-01-01 05:00:00+01:00,364.0,2512.0,28.0,,215.0,,3395.0,5435.0,530.0,,36759.0,0.0,263.0,3610.0,,
2022-01-01 06:00:00+01:00,359.0,2510.0,29.0,,215.0,,3695.0,5487.0,609.0,,37298.0,0.0,264.0,3747.0,,
2022-01-01 07:00:00+01:00,357.0,2652.0,28.0,,214.0,,3287.0,5490.0,625.0,,37624.0,0.0,260.0,4056.0,,
2022-01-01 08:00:00+01:00,358.0,2656.0,28.0,,214.0,,3003.0,5469.0,604.0,,39311.0,244.0,263.0,4531.0,,
2022-01-01 09:00:00+01:00,359.0,2645.0,28.0,,214.0,,2980.0,5674.0,599.0,,39731.0,962.0,260.0,4837.0,,
2022-01-01 10:00:00+01:00,360.0,2653.0,28.0,,215.0,,2811.0,5713.0,585.0,,40138.0,2410.0,259.0,4843.0,,
2022-01-01 11:00:00+01:00,356.0,2656.0,28.0,,215.0,,2639.0,5682.0,882.0,,40756.0,3698.0,245.0,4583.0,,
2022-01-01 12:00:00+01:00,359.0,2686.0,28.0,,215.0,,1901.0,5763.0,1288.0,,40987.0,4270.0,237.0,3890.0,,
2022-01-01 13:00:00+01:00,359.0,2647.0,28.0,,215.0,,1386.0,5773.0,1256.0,,40832.0,4332.0,236.0,3230.0,,
2022-01-01 14:00:00+01:00,358.0,2593.0,28.0,,215.0,,217.0,5666.0,1419.0,,41010.0,3567.0,236.0,2835.0,,
2022-01-01 15:00:00+01:00,361.0,2589.0,28.0,,215.0,480.0,,5690.0,1562.0,,41079.0,2174.0,248.0,2577.0,,
2022-01-01 16:00:00+01:00,361.0,2605.0,28.0,,215.0,1005.0,,5763.0,1761.0,,41186.0,801.0,231.0,3050.0,,
2022-01-01 17:00:00+01:00,362.0,2611.0,29.0,,215.0,1805.0,,6023.0,2258.0,,41689.0,244.0,234.0,3901.0,,
2022-01-01 18:00:00+01:00,362.0,2596.0,29.0,,215.0,2225.0,,6250.0,2804.0,,42120.0,0.0,239.0,4718.0,,
2022-01-01 19:00:00+01:00,361.0,2587.0,29.0,,215.0,1828.0,,6361.0,2520.0,,41944.0,0.0,241.0,4918.0,,
2022-01-01 20:00:00+01:00,359.0,2625.0,29.0,,214.0,1437.0,,6177.0,2360.0,,41423.0,0.0,241.0,4905.0,,
2022-01-01 21:00:00+01:00,360.0,2734.0,28.0,,214.0,586.0,,6067.0,1937.0,,41202.0,0.0,240.0,5112.0,,
2022-01-01 22:00:00+01:00,357.0,2839.0,28.0,,215.0,701.0,,6060.0,1558.0,,41137.0,0.0,242.0,4990.0,,
2022-01-01 23:00:00+01:00,358.0,2878.0,28.0,,214.0,446.0,,5966.0,1498.0,,40962.0,0.0,244.0,5052.0,,
2022-01-02 00:00:00+01:00,357.0,2880.0,28.0,,215.0,,179.0,5863.0,933.0,,39542.0,0.0,238.0,5006.0,,
2022-01-02 01:00:00+01:00,356.0,2890.0,27.0,,215.0,,2011.0,5864.0,647.0,,38995.0,0.0,238.0,5152.0,,
2022-01-02 02:00:00+01:00,357.0,2896.0,25.0,,215.0,,2939.0,5650.0,381.0,,38876.0,0.0,238.0,5403.0,,
2022-01-02 03:00:00+01:00,362.0,2885.0,26.0,,214.0,,3240.0,5518.0,365.0,,36483.0,0.0,238.0,5644.0,,
2022-01-02 04:00:00+01:00,360.0,2873.0,27.0,,214.0,,3567.0,5409.0,407.0,,36083.0,0.0,238.0,6299.0,,
2022-01-02 05:00:00+01:00,363.0,2865.0,26.0,,214.0,,3713.0,5409.0,434.0,,36077.0,0.0,233.0,7041.0,,
2022-01-02 06:00:00+01:00,361.0,2832.0,27.0,,214.0,,3478.0,5464.0,440.0,,36026.0,0.0,235.0,7985.0,,
2022-01-02 07:00:00+01:00,361.0,2762.0,28.0,,214.0,,3478.0,5394.0,415.0,,35977.0,0.0,235.0,8643.0,,
2022-01-02 08:00:00+01:00,359.0,2650.0,29.0,,214.0,,3085.0,5413.0,471.0,,36817.0,263.0,235.0,8979.0,,
2022-01-02 09:00:00+01:00,359.0,2658.0,29.0,,215.0,,2362.0,5582.0,631.0,,37924.0,623.0,234.0,9171.0,,
2022-01-02 10:00:00+01:00,359.0,2653.0,29.0,,214.0,,2039.0,5696.0,912.0,,38592.0,1476.0,238.0,9030.0,,
2022-01-02 11:00:00+01:00,360.0,2648.0,28.0,,215.0,,1063.0,5834.0,910.0,,39871.0,2163.0,239.0,8919.0,,
2022-01-02 12:00:00+01:00,358.0,2637.0,28.0,,215.0,,934.0,5845.0,800.0,,40526.0,2516.0,234.0,9289.0,,
2022-01-02 13:00:00+01:00,358.0,2617.0,28.0,,215.0,,1677.0,5790.0,797.0,,40583.0,2620.0,229.0,9867.0,,
2022-01-02 14:00:00+01:00,359.0,2632.0,28.0,,215.0,,3213.0,5609.0,798.0,,40364.0,2296.0,227.0,9872.0,,
2022-01-02 15:00:00+01:00,361.0,2611.0,28.0,,215.0,,2976.0,5446.0,868.0,,40420.0,1472.0,227.0,10222.0,,
2022-01-02 16:00:00+01:00,359.0,2586.0,29.0,,215.0,,2348.0,5434.0,986.0,,40808.0,562.0,230.0,11028.0,,
2022-01-02 17:00:00+01:00,356.0,2611.0,30.0,,215.0,,172.0,5616.0,1194.0,,41452.0,246.0,231.0,11762.0,,
2022-01-02 18:00:00+01:00,357.0,2581.0,30.0,,215.0,958.0,,5903.0,1279.0,,42556.0,0.0,237.0,12092.0,,
2022-01-02 19:00:00+01:00,361.0,2614.0,31.0,,215.0,970.0,,5953.0,1401.0,,42669.0,0.0,231.0,12157.0,,
2022-01-02 20:00:00+01:00,362.0,2640.0,31.0,,215.0,,930.0,5690.0,1048.0,,41893.0,0.0,233.0,12192.0,,
2022-01-02 21:00:00+01:00,360.0,2597.0,31.0,,214.0,,2619.0,5502.0,835.0,,40840.0,0.0,229.0,11882.0,,
2022-01-02 22:00:00+01:00,361.0,2633.0,32.0,,215.0,,3083.0,5781.0,736.0,,40290.0,0.0,237.0,11353.0,,
2022-01-02 23:00:00+01:00,363.0,2644.0,33.0,,214.0,,3384.0,5597.0,557.0,,39856.0,0.0,241.0,10914.0,,
2022-01-03 00:00:00+01:00,361.0,2630.0,29.0,,214.0,,2417.0,5701.0,703.0,,38008.0,0.0,239.0,10385.0,,
2022-01-03 01:00:00+01:00,362.0,2655.0,29.0,,214.0,,1150.0,5720.0,603.0,,36284.0,0.0,245.0,9951.0,,
2022-01-03 02:00:00+01:00,362.0,2668.0,30.0,,214.0,,919.0,5593.0,608.0,,35666.0,0.0,246.0,9492.0,,
2022-01-03 03:00:00+01:00,361.0,2655.0,31.0,,214.0,,1397.0,5399.0,454.0,,35253.0,0.0,246.0,9085.0,,
2022-01-03 04:00:00+01:00,360.0,2644.0,31.0,,214.0,,2186.0,5269.0,415.0,,35118.0,0.0,238.0,8979.0,,
2022-01-03 05:00:00+01:00,358.0,2720.0,31.0,,215.0,,1394.0,5320.0,418.0,,35738.0,0.0,224.0,8833.0,,
2022-01-03 06:00:00+01:00,363.0,2868.0,30.0,,214.0,195.0,,5570.0,610.0,,37740.0,0.0,218.0,8659.0,,
2022-01-03 07:00:00+01:00,362.0,3180.0,29.0,,215.0,1153.0,,5582.0,1038.0,,42141.0,0.0,213.0,8428.0,,
2022-01-03 08:00:00+01:00,361.0,3476.0,32.0,,215.0,1745.0,,5793.0,1492.0,,43545.0,267.0,208.0,8339.0,,
2022-01-03 09:00:00+01:00,361.0,3577.0,41.0,,215.0,1413.0,,6090.0,1610.0,,43676.0,716.0,213.0,8333.0,,
2022-01-03 10:00:00+01:00,359.0,3510.0,57.0,,214.0,919.0,,5846.0,1454.0,,43697.0,1661.0,211.0,8445.0,,
2022-01-03 11:00:00+01:00,361.0,3508.0,66.0,,215.0,736.0,,5834.0,1248.0,,43966.0,2471.0,209.0,8855.0,,
2022-01-03 12:00:00+01:00,361.0,3471.0,67.0,,215.0,1158.0,,5894.0,1198.0,,44405.0,2912.0,213.0,8946.0,,
2022-01-03 13:00:00+01:00,361.0,3452.0,66.0,,215.0,1470.0,,5857.0,1145.0,,44358.0,2982.0,222.0,9041.0,,
2022-01-03 14:00:00+01:00,359.0,3491.0,66.0,,215.0,1242.0,,5666.0,1024.0,,44495.0,2525.0,220.0,9109.0,,
2022-01-03 15:00:00+01:00,360.0,3628.0,60.0,,215.0,1130.0,,5608.0,1049.0,,44556.0,1585.0,225.0,8743.0,,
2022-01-03 16:00:00+01:00,363.0,3651.0,45.0,,215.0,1491.0,,5673.0,1164.0,,44539.0,608.0,222.0,8140.0,,
2022-01-03 17:00:00+01:00,363.0,3788.0,45.0,,215.0,1738.0,,6068.0,1545.0,,44636.0,242.0,228.0,7959.0,,
2022-01-03 18:00:00+01:00,363.0,3883.0,65.0,,215.0,2293.0,,6506.0,2448.0,,44714.0,0.0,220.0,7208.0,,
2022-01-03 19:00:00+01:00,363.0,3973.0,45.0,,215.0,3252.0,,6636.0,2480.0,,44785.0,0.0,219.0,6614.0,,
2022-01-03 20:00:00+01:00,362.0,3570.0,44.0,,215.0,2900.0,,6166.0,1448.0,,44672.0,0.0,204.0,6943.0,,
2022-01-03 21:00:00+01:00,358.0,3313.0,42.0,,214.0,1760.0,,5716.0,1061.0,,44379.0,0.0,202.0,7043.0,,
2022-01-03 22:00:00+01:00,360.0,3217.0,52.0,,215.0,596.0,,5683.0,1070.0,,44024.0,0.0,201.0,7118.0,,
2022-01-03 23:00:00+01:00,362.0,3195.0,48.0,,215.0,,287.0,5701.0,985.0,,43989.0,0.0,201.0,7184.0,,
2022-01-04 00:00:00+01:00,359.0,2701.0,47.0,,214.0,,1570.0,5615.0,874.0,,43514.0,0.0,202.0,7256.0,,
2022-01-04 01:00:00+01:00,358.0,2569.0,43.0,,215.0,,2862.0,5546.0,1210.0,,42931.0,0.0,203.0,7316.0,,
2022-01-04 02:00:00+01:00,358.0,2568.0,44.0,,215.0,,3214.0,5486.0,1211.0,,42980.0,0.0,201.0,7261.0,,
2022-01-04 03:00:00+01:00,359.0,2561.0,44.0,,215.0,,3285.0,5409.0,1075.0,,42799.0,0.0,202.0,7031.0,,
2022-01-04 04:00:00+01:00,358.0,2680.0,48.0,,215.0,,2979.0,5273.0,793.0,,43562.0,0.0,204.0,6886.0,,
2022-01-04 05:00:00+01:00,357.0,3034.0,50.0,,215.0,,2627.0,5275.0,906.0,,44147.0,0.0,204.0,6689.0,,
2022-01-04 06:00:00+01:00,356.0,4156.0,58.0,,215.0,,523.0,5565.0,1172.0,,44308.0,0.0,201.0,6578.0,,
2022-01-04 07:00:00+01:00,357.0,5421.0,45.0,,215.0,1640.0,,5945.0,1430.0,,44601.0,0.0,202.0,6267.0,,
2022-01-04 08:00:00+01:00,355.0,6719.0,47.0,,215.0,2925.0,,5991.0,1786.0,,44923.0,258.0,200.0,6055.0,,
2022-01-04 09:00:00+01:00,353.0,6951.0,46.0,,215.0,2829.0,,6310.0,2139.0,,45184.0,565.0,200.0,5782.0,,
2022-01-04 10:00:00+01:00,352.0,7051.0,46.0,,215.0,3073.0,,6411.0,2567.0,,45566.0,1221.0,194.0,5196.0,,
2022-01-04 11:00:00+01:00,344.0,7037.0,45.0,,214.0,2835.0,,6390.0,1921.0,,46031.0,1574.0,192.0,4719.0,,
2022-01-04 12:00:00+01:00,349.0,6936.0,44.0,,214.0,2259.0,,6217.0,2056.0,,46100.0,1762.0,195.0,4563.0,,
2022-01-04 13:00:00+01:00,357.0,6450.0,53.0,,215.0,1705.0,,6128.0,2092.0,,46082.0,1829.0,194.0,4507.0,,
2022-01-04 14:00:00+01:00,353.0,6317.0,43.0,,214.0,908.0,,5902.0,1530.0,,45955.0,1551.0,194.0,4744.0,,
2022-01-04 15:00:00+01:00,342.0,6553.0,52.0,,215.0,556.0,,5787.0,1256.0,,45920.0,979.0,195.0,4991.0,,
2022-01-04 16:00:00+01:00,339.0,5983.0,73.0,,215.0,442.0,,5798.0,1262.0,,45787.0,413.0,196.0,5454.0,,
2022-01-04 17:00:00+01:00,326.0,6454.0,241.0,,215.0,723.0,,6157.0,1518.0,,45751.0,204.0,198.0,5836.0,,
2022-01-04 18:00:00+01:00,330.0,6606.0,312.0,,215.0,1218.0,,6456.0,1674.0,,45719.0,0.0,197.0,6863.0,,
2022-01-04 19:00:00+01:00,334.0,5804.0,430.0,,215.0,1316.0,,6332.0,1403.0,,45517.0,0.0,197.0,7921.0,,
2022-01-04 20:00:00+01:00,337.0,4897.0,580.0,,215.0,210.0,,5755.0,1049.0,,45014.0,0.0,198.0,8442.0,,
