,Solar,Wind Onshore,Wind Offshore
2022-01-01 00:00:00+01:00,0.0,2624.13,
2022-01-01 01:00:00+01:00,0.0,2594.63,
2022-01-01 02:00:00+01:00,0.0,2756.01,
2022-01-01 03:00:00+01:00,0.0,2917.06,
2022-01-01 04:00:00+01:00,0.0,3079.65,
2022-01-01 05:00:00+01:00,0.0,3319.19,
2022-01-01 06:00:00+01:00,0.0,3559.39,
2022-01-01 07:00:00+01:00,0.0,3799.14,
2022-01-01 08:00:00+01:00,0.0,3962.75,
2022-01-01 09:00:00+01:00,226.76,4126.69,
2022-01-01 10:00:00+01:00,1488.12,4291.25,
2022-01-01 11:00:00+01:00,3000.61,4278.76,
2022-01-01 12:00:00+01:00,3976.16,4265.63,
2022-01-01 13:00:00+01:00,4293.81,4252.12,
2022-01-01 14:00:00+01:00,3848.06,4102.25,
2022-01-01 15:00:00+01:00,2654.21,3953.12,
2022-01-01 16:00:00+01:00,1033.96,3804.86,
2022-01-01 17:00:00+01:00,56.72,4307.86,
2022-01-01 18:00:00+01:00,0.0,4811.89,
2022-01-01 19:00:00+01:00,0.0,5316.3,
2022-01-01 20:00:00+01:00,0.0,5210.14,
2022-01-01 21:00:00+01:00,0.0,5104.69,
2022-01-01 22:00:00+01:00,0.0,4999.53,
2022-01-01 23:00:00+01:00,0.0,5082.27,
2022-01-02 00:00:00+01:00,0.0,4973.41,
2022-01-02 01:00:00+01:00,0.0,4890.66,
2022-01-02 02:00:00+01:00,0.0,5121.54,
2022-01-02 03:00:00+01:00,0.0,5349.63,
2022-01-02 04:00:00+01:00,0.0,5577.92,
2022-01-02 05:00:00+01:00,0.0,5974.49,
2022-01-02 06:00:00+01:00,0.0,6367.32,
2022-01-02 07:00:00+01:00,0.0,6757.96,
2022-01-02 08:00:00+01:00,0.0,7313.33,
2022-01-02 09:00:00+01:00,206.72,7870.51,
2022-01-02 10:00:00+01:00,1260.06,8428.02,
2022-01-02 11:00:00+01:00,2444.04,9181.23,
2022-01-02 12:00:00+01:00,3191.55,9931.85,
2022-01-02 13:00:00+01:00,3249.06,10680.88,
2022-01-02 14:00:00+01:00,2812.05,10575.83,
2022-01-02 15:00:00+01:00,1921.0,10471.16,
2022-01-02 16:00:00+01:00,744.23,10368.83,
2022-01-02 17:00:00+01:00,42.87,10171.44,
2022-01-02 18:00:00+01:00,0.0,9973.98,
2022-01-02 19:00:00+01:00,0.0,9775.07,
2022-01-02 20:00:00+01:00,0.0,9669.06,
2022-01-02 21:00:00+01:00,0.0,9562.82,
2022-01-02 22:00:00+01:00,0.0,9455.83,
2022-01-02 23:00:00+01:00,0.0,9392.51,
2022-01-03 00:00:00+01:00,0.0,10708.51,
2022-01-03 01:00:00+01:00,0.0,10116.43,
2022-01-03 02:00:00+01:00,0.0,9711.32,
2022-01-03 03:00:00+01:00,0.0,9304.48,
2022-01-03 04:00:00+01:00,0.0,8898.31,
2022-01-03 05:00:00+01:00,0.0,8645.69,
2022-01-03 06:00:00+01:00,0.0,8390.8,
2022-01-03 07:00:00+01:00,0.0,8134.09,
2022-01-03 08:00:00+01:00,0.0,8345.68,
2022-01-03 09:00:00+01:00,182.76,8559.04,
2022-01-03 10:00:00+01:00,1076.84,8772.6,
2022-01-03 11:00:00+01:00,2116.61,8984.9,
2022-01-03 12:00:00+01:00,2788.76,9194.82,
2022-01-03 13:00:00+01:00,2957.14,9403.42,
2022-01-03 14:00:00+01:00,2710.25,9278.39,
2022-01-03 15:00:00+01:00,1866.87,9153.95,
2022-01-03 16:00:00+01:00,752.31,9031.34,
2022-01-03 17:00:00+01:00,44.1,8639.74,
2022-01-03 18:00:00+01:00,0.0,8247.99,
2022-01-03 19:00:00+01:00,0.0,7856.11,
2022-01-03 20:00:00+01:00,0.0,7515.46,
2022-01-03 21:00:00+01:00,0.0,7175.68,
2022-01-03 22:00:00+01:00,0.0,6834.67,
2022-01-03 23:00:00+01:00,0.0,6818.55,
2022-01-04 00:00:00+01:00,0.0,6230.1,
2022-01-04 01:00:00+01:00,0.0,6216.33,
2022-01-04 02:00:00+01:00,0.0,6477.69,
2022-01-04 03:00:00+01:00,0.0,6743.76,
2022-01-04 04:00:00+01:00,0.0,7014.38,
2022-01-04 05:00:00+01:00,0.0,7162.64,
2022-01-04 06:00:00+01:00,0.0,7316.22,
2022-01-04 07:00:00+01:00,0.0,7473.51,
2022-01-04 08:00:00+01:00,0.0,7465.3,
2022-01-04 09:00:00+01:00,195.43,7463.4,
2022-01-04 10:00:00+01:00,1156.41,7462.86,
2022-01-04 11:00:00+01:00,2201.76,7345.12,
2022-01-04 12:00:00+01:00,2757.22,7229.83,
2022-01-04 13:00:00+01:00,2850.78,7114.23,
2022-01-04 14:00:00+01:00,2292.71,6323.03,
2022-01-04 15:00:00+01:00,1509.68,5531.16,
2022-01-04 16:00:00+01:00,604.46,4740.07,
2022-01-04 17:00:00+01:00,39.12,4779.85,
2022-01-04 18:00:00+01:00,0.0,4819.77,
2022-01-04 19:00:00+01:00,0.0,4860.85,
2022-01-04 20:00:00+01:00,0.0,5321.44,
2022-01-04 21:00:00+01:00,0.0,5782.04,
2022-01-04 22:00:00+01:00,0.0,6243.45,
2022-01-04 23:00:00+01:00,0.0,6433.14,
2022-01-05 00:00:00+01:00,0.0,8632.65,
2022-01-05 01:00:00+01:00,0.0,8649.66,
2022-01-05 02:00:00+01:00,0.0,8177.57,
2022-01-05 03:00:00+01:00,0.0,7705.65,
2022-01-05 04:00:00+01:00,0.0,7232.81,
2022-01-05 05:00:00+01:00,0.0,6982.63,
2022-01-05 06:00:00+01:00,0.0,6732.03,
2022-01-05 07:00:00+01:00,0.0,6481.32,
2022-01-05 08:00:00+01:00,0.0,6265.66,
2022-01-05 09:00:00+01:00,251.96,6049.95,
2022-01-05 10:00:00+01:00,1530.14,5834.0,
2022-01-05 11:00:00+01:00,3000.42,5914.73,
2022-01-05 12:00:00+01:00,3853.02,5994.67,
2022-01-05 13:00:00+01:00,4055.98,6074.91,
2022-01-05 14:00:00+01:00,3639.99,5656.94,
2022-01-05 15:00:00+01:00,2521.59,5239.47,
2022-01-05 16:00:00+01:00,1013.9,4823.09,
2022-01-05 17:00:00+01:00,69.42,4770.87,
2022-01-05 18:00:00+01:00,0.0,4718.7,
2022-01-05 19:00:00+01:00,0.0,4666.11,
2022-01-05 20:00:00+01:00,0.0,4706.75,
2022-01-05 21:00:00+01:00,0.0,4747.75,
2022-01-05 22:00:00+01:00,0.0,4788.03,
2022-01-05 23:00:00+01:00,0.0,4670.15,
2022-01-06 00:00:00+01:00,0.0,3969.18,
2022-01-06 01:00:00+01:00,0.0,3912.77,
2022-01-06 02:00:00+01:00,0.0,3564.29,
2022-01-06 03:00:00+01:00,0.0,3215.86,
2022-01-06 04:00:00+01:00,0.0,2869.17,
2022-01-06 05:00:00+01:00,0.0,2656.72,
2022-01-06 06:00:00+01:00,0.0,2443.93,
2022-01-06 07:00:00+01:00,0.0,2231.77,
2022-01-06 08:00:00+01:00,0.0,2153.61,
2022-01-06 09:00:00+01:00,277.16,2078.12,
2022-01-06 10:00:00+01:00,1647.62,2006.34,
2022-01-06 11:00:00+01:00,3221.63,2244.66,
2022-01-06 12:00:00+01:00,4144.64,2487.09,
2022-01-06 13:00:00+01:00,4441.73,2730.92,
2022-01-06 14:00:00+01:00,3997.33,2899.74,
2022-01-06 15:00:00+01:00,2791.39,3069.13,
2022-01-06 16:00:00+01:00,1144.02,3239.93,
2022-01-06 17:00:00+01:00,78.64,3743.49,
2022-01-06 18:00:00+01:00,0.0,4246.32,
2022-01-06 19:00:00+01:00,0.0,4748.96,
2022-01-06 20:00:00+01:00,0.0,5015.18,
2022-01-06 21:00:00+01:00,0.0,5282.31,
2022-01-06 22:00:00+01:00,0.0,5548.36,
2022-01-06 23:00:00+01:00,0.0,5803.69,
2022-01-07 00:00:00+01:00,0.0,7118.18,
2022-01-07 01:00:00+01:00,0.0,7443.25,
2022-01-07 02:00:00+01:00,0.0,7378.25,
2022-01-07 03:00:00+01:00,0.0,7313.8,
2022-01-07 04:00:00+01:00,0.0,7249.85,
2022-01-07 05:00:00+01:00,0.0,7242.1,
2022-01-07 06:00:00+01:00,0.0,7233.34,
2022-01-07 07:00:00+01:00,0.0,7224.5,
2022-01-07 08:00:00+01:00,0.0,7201.5,
2022-01-07 09:00:00+01:00,251.81,7179.13,
2022-01-07 10:00:00+01:00,1281.59,7155.99,
2022-01-07 11:00:00+01:00,2377.76,7357.02,
2022-01-07 12:00:00+01:00,3050.51,7558.57,
2022-01-07 13:00:00+01:00,3178.05,7760.48,
2022-01-07 14:00:00+01:00,2764.65,7576.5,
2022-01-07 15:00:00+01:00,1992.43,7392.59,
2022-01-07 16:00:00+01:00,847.67,7209.28,
2022-01-07 17:00:00+01:00,54.59,7284.53,
2022-01-07 18:00:00+01:00,0.0,7359.3,
2022-01-07 19:00:00+01:00,0.0,7433.53,
2022-01-07 20:00:00+01:00,0.0,7442.77,
2022-01-07 21:00:00+01:00,0.0,7452.75,
2022-01-07 22:00:00+01:00,0.0,7462.39,
2022-01-07 23:00:00+01:00,0.0,7392.17,
2022-01-08 00:00:00+01:00,0.0,8312.37,
2022-01-08 01:00:00+01:00,0.0,7973.46,
2022-01-08 02:00:00+01:00,0.0,7424.36,
2022-01-08 03:00:00+01:00,0.0,6877.35,
2022-01-08 04:00:00+01:00,0.0,6330.68,
2022-01-08 05:00:00+01:00,0.0,6114.21,
2022-01-08 06:00:00+01:00,0.0,5898.48,
2022-01-08 07:00:00+01:00,0.0,5682.94,
2022-01-08 08:00:00+01:00,0.0,6493.6,
2022-01-08 09:00:00+01:00,221.37,7303.88,
2022-01-08 10:00:00+01:00,1161.24,8113.53,
2022-01-08 11:00:00+01:00,2107.69,9903.96,
2022-01-08 12:00:00+01:00,2669.88,11695.1,
